Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
1000,Random,0.2,89.25,88.72,78.9415853023529,1.2548862445280227,162190.0,88.71,203264.0,
983,Random,0.2,89.15,88.74,78.56351208686829,1.2548862445280227,162190.0,88.71,203264.0,
628,Random,0.2,89.05,88.85,78.36234426498413,1.2548862445280227,162190.0,88.71,203264.0,
221,Random,0.2,89.15,89.22,81.26226449012756,1.2548862445280227,162190.0,88.71,203264.0,
346,Random,0.2,89.1,88.96,78.8286919593811,1.2548862445280227,162190.0,88.71,203264.0,
93,Random,0.2,89.05,88.93,79.3633599281311,1.2548862445280227,162190.0,88.71,203264.0,
334,Random,0.2,89.05,88.65,85.66351675987244,1.2548862445280227,162190.0,88.71,203264.0,
769,Random,0.2,89.05,88.61,73.7562084197998,1.2548862445280227,162190.0,88.71,203264.0,
935,Random,0.2,89.0,88.4,74.37560963630676,1.2548862445280227,162190.0,88.71,203264.0,
202,Random,0.2,89.0,89.2,73.85114550590515,1.2548862445280227,162190.0,88.71,203264.0,
530,Random,0.2,88.95,89.07,73.34062337875366,1.2548862445280227,162190.0,88.71,203264.0,
499,Random,0.2,88.95,89.28,75.04842972755432,1.2548862445280227,162190.0,88.71,203264.0,
765,Random,0.2,89.0,88.57,75.53113079071045,1.2548862445280227,162190.0,88.71,203264.0,
872,Random,0.2,88.95,89.16,71.89047980308533,1.2548862445280227,162190.0,88.71,203264.0,
901,Random,0.2,88.95,88.7,71.76240849494934,1.2548862445280227,162190.0,88.71,203264.0,
238,Random,0.2,88.95,88.57,70.71797513961792,1.2548862445280227,162190.0,88.71,203264.0,
658,Random,0.2,88.9,88.67,70.40427827835083,1.2548862445280227,162190.0,88.71,203264.0,
686,Random,0.2,88.9,88.67,79.40700483322144,1.2548862445280227,162190.0,88.71,203264.0,
359,Random,0.2,88.9,88.67,84.72181701660156,1.2548862445280227,162190.0,88.71,203264.0,
884,Random,0.2,88.9,88.71,80.33033394813538,1.2548862445280227,162190.0,88.71,203264.0,
766,Random,0.2,88.9,89.14,80.35318183898926,1.2548862445280227,162190.0,88.71,203264.0,
342,Random,0.2,88.85,88.65,71.43395400047302,1.2548862445280227,162190.0,88.71,203264.0,
889,Random,0.2,88.85,88.87,75.95641016960144,1.2548862445280227,162190.0,88.71,203264.0,
270,Random,0.2,88.85,88.69,72.5393340587616,1.2548862445280227,162190.0,88.71,203264.0,
301,Random,0.2,88.8,88.49,75.85191679000854,1.2548862445280227,162190.0,88.71,203264.0,
18,Random,0.2,88.85,88.7,80.55608296394348,1.2548862445280227,162190.0,88.71,203264.0,
723,Random,0.2,88.85,88.67,80.94300746917725,1.2548862445280227,162190.0,88.71,203264.0,
440,Random,0.2,88.8,88.32,82.94299077987671,1.2548862445280227,162190.0,88.71,203264.0,
422,Random,0.2,88.8,89.02,60.66940712928772,1.2548862445280227,162190.0,88.71,203264.0,
390,Random,0.2,88.8,89.1,70.47456645965576,1.2548862445280227,162190.0,88.71,203264.0,
164,Random,0.2,88.8,89.17,69.16677570343018,1.2548862445280227,162190.0,88.71,203264.0,
756,Random,0.2,88.8,88.53,74.61837887763977,1.2548862445280227,162190.0,88.71,203264.0,
136,Random,0.2,88.8,89.1,78.90751004219055,1.2548862445280227,162190.0,88.71,203264.0,
837,Random,0.2,88.8,88.97,75.74810433387756,1.2548862445280227,162190.0,88.71,203264.0,
474,Random,0.2,88.75,89.18,75.78205943107605,1.2548862445280227,162190.0,88.71,203264.0,
526,Random,0.2,88.75,88.96,71.66685605049133,1.2548862445280227,162190.0,88.71,203264.0,
407,Random,0.2,88.75,88.94,69.36491870880127,1.2548862445280227,162190.0,88.71,203264.0,
980,Random,0.2,88.75,89.23,68.2294933795929,1.2548862445280227,162190.0,88.71,203264.0,
801,Random,0.2,88.75,89.16,61.835734128952026,1.2548862445280227,162190.0,88.71,203264.0,
231,Random,0.2,88.75,88.77,68.34742546081543,1.2548862445280227,162190.0,88.71,203264.0,
836,Random,0.2,88.75,89.02,65.09766340255737,1.2548862445280227,162190.0,88.71,203264.0,
37,Random,0.2,88.75,88.95,73.9760205745697,1.2548862445280227,162190.0,88.71,203264.0,
442,Random,0.2,88.7,88.81,74.55952787399292,1.2548862445280227,162190.0,88.71,203264.0,
525,Random,0.2,88.7,88.78,70.73740577697754,1.2548862445280227,162190.0,88.71,203264.0,
297,Random,0.2,88.7,88.43,70.20963263511658,1.2548862445280227,162190.0,88.71,203264.0,
997,Random,0.2,88.7,87.72,70.22977042198181,1.2548862445280227,162190.0,88.71,203264.0,
613,Random,0.2,88.7,88.99,72.56317186355591,1.2548862445280227,162190.0,88.71,203264.0,
7,Random,0.2,88.7,88.91,71.34737944602966,1.2548862445280227,162190.0,88.71,203264.0,
60,Random,0.2,88.7,88.93,68.85686898231506,1.2548862445280227,162190.0,88.71,203264.0,
457,Random,0.2,88.65,88.83,71.64764976501465,1.2548862445280227,162190.0,88.71,203264.0,
818,Random,0.2,88.7,88.67,73.39311814308167,1.2548862445280227,162190.0,88.71,203264.0,
508,Random,0.2,88.65,88.64,75.68601036071777,1.2548862445280227,162190.0,88.71,203264.0,
299,Random,0.2,88.65,88.55,79.72332525253296,1.2548862445280227,162190.0,88.71,203264.0,
325,Random,0.2,88.65,88.77,80.68556427955627,1.2548862445280227,162190.0,88.71,203264.0,
